TYLER OBRIEN SHULTZ,,,,
Iteration,Time,Sensor,Type,Value
0,0,0,BSA,184
0,1,1,BSA,184
0,2,6,BSA,184
0,3,7,BSA,184
0,4,8,BSA,184
0,5,9,BSA,184
0,6,14,BSA,184
0,7,15,BSA,184
0,8,24,THC,184
0,9,25,THC,184
0,10,30,THC,184
0,11,31,THC,184
0,12,32,THC,184
0,13,33,THC,184
0,15,38,THC,184
0,16,39,THC,184
0,17,48,BIOTIN,184
0,18,55,BIOTIN,184
0,19,56,BIOTIN,184
0,21,63,BIOTIN,184
1,22,0,BSA,184
1,23,1,BSA,184
1,24,6,BSA,184
1,25,7,BSA,184
1,26,8,BSA,29
1,27,9,BSA,29
1,29,14,BSA,13
1,30,15,BSA,130
1,31,24,THC,130
1,32,25,THC,130
1,33,30,THC,130
1,34,31,THC,130
1,35,32,THC,130
1,36,33,THC,130
1,37,38,THC,130
1,38,39,THC,130
1,40,48,BIOTIN,130
1,41,55,BIOTIN,130
1,42,56,BIOTIN,130
1,43,63,BIOTIN,130
2,45,0,BSA,110
2,46,1,BSA,106
2,47,6,BSA,37
2,48,7,BSA,119
2,49,8,BSA,27
2,50,9,BSA,3
2,51,14,BSA,244
2,52,15,BSA,14
2,54,24,THC,56
2,55,25,THC,78
2,56,30,THC,70
2,57,31,THC,44
2,58,32,THC,99
2,59,33,THC,112
2,60,38,THC,130
2,61,39,THC,119
2,62,48,BIOTIN,132
2,63,55,BIOTIN,137
2,64,56,BIOTIN,154
2,66,63,BIOTIN,31
3,67,0,BSA,125
3,68,1,BSA,133
3,69,6,BSA,14
3,71,7,BSA,171
3,72,8,BSA,180
3,73,9,BSA,170
3,74,14,BSA,141
3,75,15,BSA,185
3,76,24,THC,37
3,77,25,THC,30
3,78,30,THC,15
3,79,31,THC,3
3,80,32,THC,149
3,81,33,THC,130
3,82,38,THC,152
3,83,39,THC,130
3,85,48,BIOTIN,194
3,86,55,BIOTIN,179
3,87,56,BIOTIN,188
3,88,63,BIOTIN,194
4,90,0,BSA,181
4,91,1,BSA,189
4,92,6,BSA,231
4,93,7,BSA,197
4,94,8,BSA,88
4,95,9,BSA,86
4,96,14,BSA,37
4,97,15,BSA,71
4,99,24,THC,239
4,100,25,THC,239
4,101,30,THC,246
4,102,31,THC,235
4,103,32,THC,181
4,104,33,THC,125
4,105,38,THC,185
4,106,39,THC,190
4,107,48,BIOTIN,229
4,108,55,BIOTIN,189
4,109,56,BIOTIN,18
4,111,63,BIOTIN,140
5,112,0,BSA,237
5,113,1,BSA,208
5,115,6,BSA,180
5,116,7,BSA,249
5,117,8,BSA,250
5,118,9,BSA,231
5,119,14,BSA,173
5,120,15,BSA,238
5,121,24,THC,204
5,122,25,THC,218
5,123,30,THC,218
5,124,31,THC,186
5,125,32,THC,212
5,126,33,THC,148
5,127,38,THC,241
5,128,39,THC,216
5,130,48,BIOTIN,37
5,131,55,BIOTIN,250
5,132,56,BIOTIN,96
5,133,63,BIOTIN,65
6,135,0,BSA,4
6,136,1,BSA,2
6,137,6,BSA,152
6,138,7,BSA,57
6,139,8,BSA,146
6,140,9,BSA,140
6,141,14,BSA,59
6,142,15,BSA,145
6,144,24,THC,183
6,145,25,THC,171
6,146,30,THC,163
6,147,31,THC,150
6,148,32,THC,15
6,149,33,THC,155
6,150,38,THC,12
6,151,39,THC,250
6,152,48,BIOTIN,115
6,154,55,BIOTIN,33
6,155,56,BIOTIN,150
6,156,63,BIOTIN,216
7,157,0,BSA,78
7,158,1,BSA,70
7,160,6,BSA,104
7,161,7,BSA,99
7,162,8,BSA,39
7,163,9,BSA,35
7,164,14,BSA,190
7,165,15,BSA,13
7,166,24,THC,123
7,167,25,THC,124
7,168,30,THC,130
7,169,31,THC,126
7,170,32,THC,50
7,171,33,THC,143
7,172,38,THC,64
7,174,39,THC,61